winery,wine,year,rating,num_review,region,price,type,grapes
Valserrano,Rioja Reserva 2014,2014,"4,0",712,España / Rioja,"14,90",Vino tinto,"90 % de Tempranillo, 10 % de Graciano"
Mestres,Coquet Gran Reserva Brut Nature 2014,2014,"4,0",40,España / Cava,"15,90",Vino espumoso,"Macabeo, Parellada"
Cims de Porrera,Clàssic 1998,1998,"4,2",117,España / Cataluña / Priorato,"88,25",Vino tinto,Carignan
Cop de Vent,Negre Jove 2019,2019,"3,5",98,España / Cataluña / Empordà,"8,45",Vino tinto,"Cabernet Sauvignon, Merlot, Garnacha"
Trenza,La Nymphina Monastrell 2019,2019,"3,8",101,España / Murcia / Yecla,"11,95",Vino tinto,Monastrell
Dominio del Águila,Canta la Perdiz 2015,2015,"4,5",44,España / Castilla y León / Ribera del Duero,295,Vino tinto,100 % de Tempranillo
Borsao Bodegas,Berola 2014,2014,"3,9",1170,España / Aragón / Campo de Borja,"11,95",Vino tinto,"70 % de Grenache, 20 % de Shiraz/Syrah, 10 % de Cabernet Sauvignon"
Sierra Cantabria,Finca el Bosque 2015,2015,"4,6",228,España / Rioja,215,Vino tinto,100 % de Tempranillo
Protos,Reserva 5 Año 2015,2015,"4,2",1764,España / Castilla y León / Ribera del Duero,"23,50",Vino tinto,100 % de Tinto Fino
Martinet,Clos Martinet 2012,2012,"4,3",183,España / Cataluña / Priorato,"62,40",Vino tinto,100 % de Garnacha
Cortijo Trifillas,En Clave de DO Monastrell - Syrah 2017,2017,"3,6",64,España / Murcia / Jumilla,"14,97",Vino tinto,"Shiraz/Syrah, Monastrell"
Hoya de Cadenas,Reserva Tempranillo 2018,2018,"3,3",150,España / Valencia / Utiel-Requena,"3,99",Vino tinto,Tempranillo
Venta La Vega - Bodegas Almanseñas,Adaras Aldea 2020,2020,"3,5",52,España / Castilla / Almansa,"4,50",Vino tinto,"80 % de Garnacha Tintorera, 20 % de Shiraz/Syrah"
Bodega Juan Carlos Sancha,Ad Libitum Maturana Tinta 2020,2020,"3,8",28,España / Rioja,"9,90",Vino tinto,100 % de Maturana Tinta
Sierra Cantabria,Finca el Bosque 2012,2012,"4,4",159,España / Rioja,"80,95",Vino tinto,100 % de Tempranillo
Bodegas Arraez,Bala Perdida Alicante Bouschet 2017,2017,"3,7",398,España / Valencia / Alicante,"6,50",Vino tinto,100 % de Alicante Bouschet
Vilarnau,Cava Brut Reserva Rosé N.V.,2818,"3,5",628,España / Cava,"13,90",Vino espumoso,"85 % de Garnacha, 15 % de Pinot Noir"
Ferratus,Ferratus AØ 2018,2018,"3,7",102,España / Castilla y León / Ribera del Duero,"10,88",Vino tinto,100 % de Tempranillo
Baron de Ley,Blanco 2018,2018,"3,6",213,España / Rioja,"6,40",Vino blanco,"85 % de Viura, 15 % de Verdejo"
Sant Josep,Clot d'Encís Blanc de Negres 2020,2020,"3,8",69,España / Cataluña / Terra Alta,"9,40",Vino blanco,Garnacha
Lavia,Monastrell - Syrah 2016,2016,"3,7",261,España / Murcia / Bullas,"11,45",Vino tinto,"Shiraz/Syrah, Monastrell"
Viña Esperanza,Verdejo 2021,2021,"3,7",28,España / Castilla y León / Rueda,"4,50",Vino blanco,Verdejo
